0,0,0
0,1,0
1,0,0
1,1,0
2,0,0
2,1,0
3,0,0
3,1,0
4,0,1
4,1,0
5,0,2
5,1,0
6,0,3
6,1,0
7,0,4
7,1,1
8,0,5
8,1,2
9,0,0
9,1,0
10,0,0
10,1,0
11,0,0
11,1,0
12,0,1
12,1,0
13,0,2
13,1,0
14,0,3
14,1,0
15,0,4
15,1,1
16,0,5
16,1,2
17,0,5
17,1,2
18,0,0
18,1,0
19,0,0
19,1,0
20,0,1
20,1,0
21,0,2
21,1,0
22,0,3
22,1,0
23,0,4
23,1,1
24,0,5
24,1,2
25,0,5
25,1,2
26,0,5
26,1,2
27,0,0
27,1,0
28,0,0
28,1,0
29,0,1
29,1,0
30,0,2
30,1,0
31,0,3
31,1,1
32,0,4
32,1,2
33,0,4
33,1,2
34,0,4
34,1,2
35,0,4
35,1,2
36,0,1
36,1,0
37,0,1
37,1,0
38,0,2
38,1,0
39,0,3
39,1,1
40,0,4
40,1,2
41,0,4
41,1,2
42,0,4
42,1,2
43,0,3
43,1,2
44,0,3
44,1,2
45,0,2
45,1,0
46,0,2
46,1,0
47,0,3
47,1,1
48,0,4
48,1,2
49,0,4
49,1,2
50,0,4
50,1,2
51,0,3
51,1,2
52,0,2
52,1,2
53,0,2
53,1,2
54,0,3
54,1,0
55,0,3
55,1,0
56,0,4
56,1,1
57,0,4
57,1,1
58,0,4
58,1,1
59,0,3
59,1,1
60,0,2
60,1,1
61,0,1
61,1,1
62,0,1
62,1,1
63,0,4
63,1,1
64,0,4
64,1,1
65,0,4
65,1,1
66,0,4
66,1,1
67,0,3
67,1,1
68,0,2
68,1,1
69,0,1
69,1,1
70,0,0
70,1,0
71,0,0
71,1,0
72,0,5
72,1,2
73,0,5
73,1,2
74,0,5
74,1,2
75,0,4
75,1,2
76,0,3
76,1,2
77,0,2
77,1,2
78,0,1
78,1,1
79,0,0
79,1,0
80,0,0
80,1,0
